n,prime
1,2
2,11
3,1361
4,2521008887
5,16022236204009818131831320183
6,4113101149215104800030529537915953170486139623539759933135949994882770404074832568499
7,69583804376962741608539276573538592864835917395924759602456009555710439562534603942132717654085619871657656850305900008136962235482689306913393638227620908148480337200487348871845278976469184329953753965251639715257390268487534179757699110378097045955949
8,336918228195740742277307753365919464724735980446036847173148744997183569681645313922999519560188635938231011930942806048274566969663943084803879159093850991886684894184686568482921882793393349472747424678953085704828566279242732432166867289543024307993825765869330643528986474979886689811429863994708280706156563046759807239532895071260606930666925026521670582559676212963410480590977928393110289732332074517513978249880094900532334430298139633844229430844368359647359639808914333592784438515256208022942964851955078632967990655776890320725149580582400076286696108291694165672347076476585461146704648361484958846951462559330680798397451377936118164119699564252318512829545170424592019722313580102759048564582180598405013138097469593692676561694614253113386536243
9,38244899533520342949726403449119571303651873797387305951528011038940272866431727689000547459853758800565331810484011700953891407243035309833075435734311180146571731199335076162327903691605362359182789394601210701431009497379805496285412648351578204703859085962085061509392425124396383279101964736210769103275669630842886672639190562714861846520530205454283237557441374738005620009527868567646209278975136505218068496892877749149113710823046645690536992837174808705855556526008262265616139565389721656538738908848558029567417396326403618004321716169921733970874615632658745587017554692698669547868487275663310490661891963490186429710828202988335271312957669656662287561013435349506606192235107423970269864384397803616439506058130179273895825265582244482652521065528709600519765196017590990534456774746297313291514213294163088297210724295850260430171204746875383076793938968207068303897924726386003343597792694130431824002411125981249059146922093192399747654576635015028790974527675859855103299077088263269125679613676967984454677002409731423284051681930152219316307878715604055501182599806817667280891466265213007514381293679106121378758010557179481381260357056702670146422691274091827682967302522370530179581903559898925133471828146953642551405657756121534887813364822229886450489376174331660153673963656243207870459538384815698929907725793860097755288555091323606648833496265545744106397608340811692289332596885961587439790020120417832451478537088098826469218504023031623370445547242990939315929580546141085981635211215214487530136334069821189534282854527330794445291794356757978370716319383030552422783314209620793510341880307985249664357134897718359561140769843735881269419011200451378347627474757520677523702929240684809025792602786621973067160104436165330981738589227671303531963123015155773002540364858712195766931468084010331897603446621105506124041081556691784173636354744529363651994752744067476349484147282193322087754248771982224127885130910498419340660612033495231897067162523978293050686700573678762779543734238273022464731171677938630038518763913808252100762871560950295595068831333158562180818593139534885952761623192693201086685707729899777475704069632071712670821142692004319036245022833061364399637512732104183974614488673714407826257215019802309856587127547491144543
10,55939756706344148952484963181573878825624233032718673154371546709156690941168041007146406598985777356503215305432406146678118323413980480528617370593806602704012293093689355837738784902849388082441088979967348787578785044661881502153345575746607842344655053237069144658854263621292007494545750337956035129957848403192552012075490711821416465845844561553422437766031994627354528911406223951723519117384895571783805803643684993589004987096283681091029379915585996360487063833357998258859258990132887972696361012339014113908496001379628302481821954123779883047819661233046671524140101352850841975244161499861754761430282894037055346550686770621623310773610939477681152216597379507159590148762460550471240569903936048982892010804169822728851608892445457238749138398135969233265560242994853330510973215021206661491962801834528037954043742733998154253512341008491905964294917018051385938320215362298771290785131586804311236196204082099966935210107473420240784107569438154402289202228335652606416370467968889727173774442689664323793304176618306103881286482165680343954250866994035692295895720182480845685940787049725144617020357368195150374537749011419875669388633033682296260581547858045244413452313221630874959020947478153728012888259634283972334265896088674515047082779941420836580237526375047927643886387265732982500996048297095661945975921859776465589258696924647445583263530592985438557446687786383070403945215226521708244591083379539735698001421643076569830161907637715445611630448198650605815763469667130693091280904066326331237632466572530453396040450123519369267133556932911022704353509086048825534733945307300111893232563206002118094931466784714829888491023004692201226509746776246182355306260354489046468638043265967118697791720853725088002164463183188864568421092158662631397134999727551734164686292389578519273585997963798034132583399858871959111759057755788409487753406647885833500109610604653272425304736130090554621923664223348153795817628961284128440471751060752819235387938822288189756327047774329340121160119550170582475715304899554012026222392867542722440269370710544488219549408997948084428831475891081026074193033194397616592464164940903346905915585775052925899506226468769354276491217023421804390059561244077884685495466366011219606351352087153012753879416029596720564604779192733094610039449329720011414481414069648425584325305733055814617364040812446898481658513492115578305775706633670105379207121795916366847153693000666291995468933949517748553669072307924410561181271515821924066182647139648759026557130443886721855394801381866669230795731055442664059122955480801670380764487819307632647208012561012051267371575273907898467632671548138849728840629136063203420351051350610026197714141687550412025100228682847739884071396228090632889812919314782698371497849026104190413639933119438184255784516911042680840031242074430635308999770489441900878959783871929154652226604008185493227582351594404111048677294757645473377788782569667845679314031805988919521210573399218669379802992981903061285722960490747646914083444151725610612374935042542463787031578723016803026455573866504209983848010603122098666067422624368630569436292007476983867772226216485596144685424588771536160876484932019482467330176304587989073406960257765219509347160324258136575015278034012240065824758039862934650494709363046706916195378559230236691572816551080839321104498897919917227687218678409624034917576652227595718128770202914541853276169075896401188123857967771325607837482280170497838921935321514996309062334053661894419296584978146813713899818881945495166094932061021123225117856746889004722114717126149154019098563092896845903019980580940667309984837343767421366540509661497651756095449994025527976591223195388849021033309412627484182023531772189022909923145034790989972765724382385691440070927221018378188362189742659023558806577555369984694509843290052251687139428151953810038911129022249906772452851093959230324603088591479499460838476037172509589340717469656790021392613098467421597590580876345807752817799462662817435790604303387730848125455925271079626748246174618213505253892547402551963033659016821125964797124223733231906504962524037867529895710242900303661232807855619820483312752109429837338455116816906165698773102427856460818749194932486574718697000766468482374185870989479144742676328243610848053806245901435462809254241677171948820275223411711013557674571810709382380399906867156748113880257079516010147318525997394453962262059815780023061605714164618803501914104441835454230399223010918087370251055176676630189140717894490882707018485385205646818171447517418315428941872030908040932064924495356402126246757000662629387259895727557314736388108227587433513018191285029934418578866667840811248636706008569329349976967170737752742872101565637751138907100256582240439809116758617247266042461815522002848297978005584170181135414879055001485893772874870292671662183259053752212723884627718219931395361523666662882231393599346405803131283358363381314206298906986224585708537915097615244718647335491595247778628121180277103662544885309972918969243194005226312806780321610277506400713564791544757868498357493081370323022053669528090969585546073087890734016093756004328396120228495804949585236319303304214620505446860909254218092721799235367073823312941897750568218832368914409761911888728492976641364781931407552243359481851018661442779345254168015998566067713625895498083723393096791840476723424707227996971332271678188566911899290293237954378452144296695146659420455328058308765770918060649408005470174057284887378336744541654817747093620368173989856519343191197015749105596933977699250977520620908068053199703706633277436303377423929348712802018887222460816809022016281149445715796683829934050243461027352623416318474293776726875848682740923176030365536443286454345648993907639795383494167664840680574208387903090375974796162006554237852027529142356134508096327497779408819829225862439532613462461302758503065436519515304774613789625295796514557894321042562501164092734054470805399395091079823347573911144836681190749189782429263588795880241347198499609902589899092332765620968487249201267607857494730667953610754208487195505080263761707107394487382457386568189346212584646182914631524002047222660043390561534573475531979457399081509868053314924986644466964005311722042512281632349448104340529095123244492529382662081563810115403730550682682391547904290831356417268948864624557840868134163991488867679592229353734733016193505938426371789514403846593220224116269089921376838794814993827767085560359967857340501429097968724096320519237450724300468885403512991652393711944758989257024783159349098315011188582206151656415069623345607728243567015228976262382512268458847310861364085170247463127754693442518415649630591197281630366167062326615647843814513772070792106585753624286554435671064540150817033730067941481463108921797997991210925540973345044055941763
